,,Crowd votes (Average),,,,Kiva votes,,,
ID,Enterprise ,# Valid Votes,Impact,Business,Prioritization,Kiva Impact,Kiva Business,Kiva Prioritization,Kiva's Decision
1091159,The Honest Bison,17,3.59,3.82,2.88,2,3,2,Rejected
1530285,Visible Clothing,24,4.63,3.96,3.96,5,3,4,Approved
1579699,MoringaConnect,4,5.25,4.25,5,5,5,5,Approved
1323015,All Across Africa,4,4.75,5.25,4.5,5,5,6,Approved
1616966,Sama Sama (iDE Ghana),1,5,4,6,5,2,4,Approved
